"run" "growth_rate" "warfare_pressure" "carrying_capacity" "yearly_warfare_mortality" "sizeX" "allow_matrilocal" "matrilocal_pressure" "change_residence_pause" "sizeY" "newborn_male_bias" "preferred_marriage_weight"
269 0.75 100 500 0.015 5 1 0 0 10 116 0.5
270 0.8 100 500 0.015 5 1 0 0 10 116 0.5
271 0.4 200 500 0.015 5 1 0 0 10 116 0.5
272 0.45 200 500 0.015 5 1 0 0 10 116 0.5
273 0.5 200 500 0.015 5 1 0 0 10 116 0.5
274 0.55 200 500 0.015 5 1 0 0 10 116 0.5
275 0.6 200 500 0.015 5 1 0 0 10 116 0.5
276 0.65 200 500 0.015 5 1 0 0 10 116 0.5
277 0.7 200 500 0.015 5 1 0 0 10 116 0.5
278 0.75 200 500 0.015 5 1 0 0 10 116 0.5
279 0.8 200 500 0.015 5 1 0 0 10 116 0.5
280 0.4 300 500 0.015 5 1 0 0 10 116 0.5
281 0.45 300 500 0.015 5 1 0 0 10 116 0.5
282 0.5 300 500 0.015 5 1 0 0 10 116 0.5
283 0.55 300 500 0.015 5 1 0 0 10 116 0.5
284 0.6 300 500 0.015 5 1 0 0 10 116 0.5
285 0.65 300 500 0.015 5 1 0 0 10 116 0.5
286 0.7 300 500 0.015 5 1 0 0 10 116 0.5
287 0.75 300 500 0.015 5 1 0 0 10 116 0.5
288 0.8 300 500 0.015 5 1 0 0 10 116 0.5
289 0.4 0 1000 0.015 5 1 0 0 10 116 0.5
290 0.45 0 1000 0.015 5 1 0 0 10 116 0.5
291 0.5 0 1000 0.015 5 1 0 0 10 116 0.5
292 0.55 0 1000 0.015 5 1 0 0 10 116 0.5
293 0.6 0 1000 0.015 5 1 0 0 10 116 0.5
294 0.65 0 1000 0.015 5 1 0 0 10 116 0.5
295 0.7 0 1000 0.015 5 1 0 0 10 116 0.5
296 0.75 0 1000 0.015 5 1 0 0 10 116 0.5
297 0.8 0 1000 0.015 5 1 0 0 10 116 0.5
298 0.4 100 1000 0.015 5 1 0 0 10 116 0.5
299 0.45 100 1000 0.015 5 1 0 0 10 116 0.5
300 0.5 100 1000 0.015 5 1 0 0 10 116 0.5
301 0.55 100 1000 0.015 5 1 0 0 10 116 0.5
302 0.6 100 1000 0.015 5 1 0 0 10 116 0.5
303 0.65 100 1000 0.015 5 1 0 0 10 116 0.5
304 0.7 100 1000 0.015 5 1 0 0 10 116 0.5
305 0.75 100 1000 0.015 5 1 0 0 10 116 0.5
306 0.8 100 1000 0.015 5 1 0 0 10 116 0.5
307 0.4 200 1000 0.015 5 1 0 0 10 116 0.5
308 0.45 200 1000 0.015 5 1 0 0 10 116 0.5
309 0.5 200 1000 0.015 5 1 0 0 10 116 0.5
310 0.55 200 1000 0.015 5 1 0 0 10 116 0.5
311 0.6 200 1000 0.015 5 1 0 0 10 116 0.5
312 0.65 200 1000 0.015 5 1 0 0 10 116 0.5
313 0.7 200 1000 0.015 5 1 0 0 10 116 0.5
314 0.75 200 1000 0.015 5 1 0 0 10 116 0.5
315 0.8 200 1000 0.015 5 1 0 0 10 116 0.5
316 0.4 300 1000 0.015 5 1 0 0 10 116 0.5
317 0.45 300 1000 0.015 5 1 0 0 10 116 0.5
318 0.5 300 1000 0.015 5 1 0 0 10 116 0.5
319 0.55 300 1000 0.015 5 1 0 0 10 116 0.5
320 0.6 300 1000 0.015 5 1 0 0 10 116 0.5
321 0.65 300 1000 0.015 5 1 0 0 10 116 0.5
322 0.7 300 1000 0.015 5 1 0 0 10 116 0.5
323 0.75 300 1000 0.015 5 1 0 0 10 116 0.5
324 0.8 300 1000 0.015 5 1 0 0 10 116 0.5
325 0.4 0 100 0.02 5 1 0 0 10 116 0.5
326 0.45 0 100 0.02 5 1 0 0 10 116 0.5
327 0.5 0 100 0.02 5 1 0 0 10 116 0.5
328 0.55 0 100 0.02 5 1 0 0 10 116 0.5
329 0.6 0 100 0.02 5 1 0 0 10 116 0.5
330 0.65 0 100 0.02 5 1 0 0 10 116 0.5
331 0.7 0 100 0.02 5 1 0 0 10 116 0.5
332 0.75 0 100 0.02 5 1 0 0 10 116 0.5
333 0.8 0 100 0.02 5 1 0 0 10 116 0.5
334 0.4 100 100 0.02 5 1 0 0 10 116 0.5
335 0.45 100 100 0.02 5 1 0 0 10 116 0.5
336 0.5 100 100 0.02 5 1 0 0 10 116 0.5
337 0.55 100 100 0.02 5 1 0 0 10 116 0.5
338 0.6 100 100 0.02 5 1 0 0 10 116 0.5
339 0.65 100 100 0.02 5 1 0 0 10 116 0.5
340 0.7 100 100 0.02 5 1 0 0 10 116 0.5
341 0.75 100 100 0.02 5 1 0 0 10 116 0.5
342 0.8 100 100 0.02 5 1 0 0 10 116 0.5
343 0.4 200 100 0.02 5 1 0 0 10 116 0.5
344 0.45 200 100 0.02 5 1 0 0 10 116 0.5
345 0.5 200 100 0.02 5 1 0 0 10 116 0.5
346 0.55 200 100 0.02 5 1 0 0 10 116 0.5
347 0.6 200 100 0.02 5 1 0 0 10 116 0.5
348 0.65 200 100 0.02 5 1 0 0 10 116 0.5
349 0.7 200 100 0.02 5 1 0 0 10 116 0.5
350 0.75 200 100 0.02 5 1 0 0 10 116 0.5
351 0.8 200 100 0.02 5 1 0 0 10 116 0.5
352 0.4 300 100 0.02 5 1 0 0 10 116 0.5
