run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var,growth_rate,warfare_pressure,carrying_capacity,yearly_warfare_mortality,sizeX,allow_matrilocal,matrilocal_pressure,change_residence_pause,sizeY,newborn_male_bias,preferred_marriage_weight
4170,42.34,13355.5514285714,5323.552,290604855.107302,5728.554,1294050071.49328,6917.8884,981533225.895316,0.888225156555468,0.000212824794532541,0.57981646277877,0.000258163265306122,0.20632,8.02322040816327e-08,0.19772,1.55553741496599e-07,0.019772,3.22039383070032e-08,5022.86,62918.038,242647.426,406513.177951515,0.77508328124561,0.225,0.0004062,0.000611777777777778,0.00361210707070707,1.86163265306122,9859.50295510204,7240.99967755103,2475.97609534694,0.000219861330093573,0.000170072035255249,5.86710204081632e-05,2.87771428571429e-05,2.87771428571429e-07,0.5,300,500,0.015,5,1,0,0,10,116,0.8
4171,45.96,11194.2126530612,6976.356,397309806.331596,7404.52,1158972068.53438,8459.3668,456153481.012328,0.922695339517954,0.000149872134638547,0.702726149166763,0.000288816326530612,0.19444,3.6130612244898e-08,0.1841,4.85304349206349e-07,0.01841,2.611769130601e-08,6705.54,51708.294,268610.245777778,219649.065757576,0.816948690582334,0.1936,0.000188,0.00114251111111111,0.00318851373737374,2.7330612244898,5786.68782040816,5023.14734693878,2821.18648751018,0.000182069542771893,0.000113130580578161,3.25371428571429e-05,3.91122448979591e-05,3.91122448979592e-07,0.55,300,500,0.015,5,1,0,0,10,116,0.8
4172,47.94,8299.07142857143,8347.88,160202479.595302,8805.406,725316504.301483,9778.841,237549962.8527,0.931307034073493,5.48333213621777e-05,0.778273300928704,0.000369632653061224,0.19588,4.50996326530613e-08,0.17914,5.87635378684807e-07,0.017914,2.59041986773112e-08,8064.5,55581.898,297770.807777778,151508.405145455,0.837952830516496,0.1876,0.0001306,0.00153157777777778,0.00306030525252525,1.69020408163265,6201.5869387755,6610.92873877551,1961.13410714286,5.13920816227397e-05,7.77572422583298e-05,2.58628571428572e-05,4.14697959183673e-05,4.14697959183674e-07,0.6,300,500,0.015,5,1,0,0,10,116,0.8
4173,49.54,6858.5587755102,9527.844,175939823.449567,10001.186,958547063.361853,10924.7936,229147980.014532,0.933245364411922,4.68859728600638e-05,0.825030427539147,0.000110857142857143,0.1984,5.50204081632654e-09,0.17288,6.81326488284203e-07,0.017288,2.55672520120188e-08,9223.82,68904.868,316053.930444444,130802.975539394,0.852374439647263,0.1944,3.40000000000001e-05,0.00230826666666667,0.00293087515151515,0.539183673469388,6642.78904489796,7379.0183714286,1813.28205616326,3.14533340573891e-05,6.65233785240317e-05,7.18367346938777e-06,4.47608163265306e-05,4.47608163265306e-07,0.65,300,500,0.015,5,1,0,0,10,116,0.8
4174,49.96,2591.84857142857,10577.72,86962030.7832816,11047.804,730374017.190122,11926.6022,115547647.294077,0.934658518237462,2.29087539576432e-05,0.856185810124386,0,0.19952,6.89632653061227e-10,0.16736,8.09403565633661e-07,0.016736,3.05609722929564e-08,10243.78,81204.472,314604.759555556,120258.742086869,0.864610690348287,0.2,9.60000000000002e-06,0.00275928888888889,0.00280210262626263,0.0391836734693878,3423.17551020407,4302.11631020408,1049.33029506123,1.23275443548687e-05,2.44123764288481e-05,1.72408163265306e-06,5.55820408163266e-05,5.55820408163265e-07,0.7,300,500,0.015,5,1,0,0,10,116,0.8
4175,50,3085.19346938776,11482.784,140420676.844853,11928.588,818534393.009924,12782.6788,182625131.503738,0.937970162908617,2.6102907563163e-05,0.875533967481017,0,0.198,1.56734693877551e-08,0.16032,9.72538775510204e-07,0.016032,3.32215063435843e-08,11125.48,86193.538,287969.374222222,114878.151733333,0.876970958306322,0.2,5.60000000000001e-05,0.00316711111111111,0.00263053737373737,0,3573.25198367347,4068.80148571428,902.805933224496,1.58247993481467e-05,2.58750453023851e-05,1.06122448979592e-05,6.7650612244898e-05,6.76506122448979e-07,0.75,300,500,0.015,5,1,0,0,10,116,0.8
4176,50,2836.77714285714,12312.784,163853116.903363,12732.996,956566425.267234,13550.757,111843390.529507,0.942458516856459,3.2403963048483e-05,0.890297466672707,0,0.19424,2.98684081632653e-08,0.15568,1.22161129554044e-06,0.015568,7.0299635408132e-08,11943.72,84588.448,260413.543111111,106380.497666667,0.887693998803044,0.2,0.0001536,0.00312728888888889,0.00250013898989899,0,2670.16626938774,3084.0195755102,784.530266326528,1.7251230442367e-05,3.97468806151878e-05,2.36146938775511e-05,0.000140793469387755,1.40793469387755e-06,0.8,300,500,0.015,5,1,0,0,10,116,0.8
4177,50,18339.1836734694,4922.216,373002.819183674,4958.612,3232742.20713248,6291.6718,14310152380.3474,0.988532659796332,0.000111339275217615,0.53461525969462,0,0,0,0,0,0,0,4893.2,671.24,2366.60355555556,1364286.26112121,0.973463738191216,0,0,0,0,0,18468.0830040816,19111.2145469388,8550.75507628572,3.95065810701952e-05,0.000229338627691152,0,0,0,0.4,0,1000,0.015,5,1,0,0,10,116,0.8
4178,50,22860.107755102,9592.168,376643.032653061,9593.534,1344879.44415727,9848.4168,773752981.275037,1.00013243421736,7.62815709663826e-05,0.912565775970693,0,0,0,0,0,0,0,9593.12,385.82,964.090444444444,79601.3294828283,0.999536668695002,0,0,0,0,0,22979.7099755102,22723.636167347,9701.54539771429,2.52030715553893e-05,0.000221044188379636,0,0,0,0.45,0,1000,0.015,5,1,0,0,10,116,0.8
4179,50,19937.3648979592,13770.212,1045025.76897959,13770.642,7879429.60487906,13385.1882,3462716846.10694,1.00069597346873,7.79633600231527e-05,1.15664304931423,0,0,0,0,0,0,0,13776.68,692.3,2158.35222222222,260757.040131313,1.00032726537501,0,0,0,0,0,19512.4316897959,18867.3437102041,6661.60066404083,2.04556182992129e-05,0.000178588363092452,0,0,0,0.5,0,1000,0.015,5,1,0,0,10,116,0.8
